name,ra,dec,hip_number,vmag
HIP 29696 ,06 15 22.7366,+29 29 55.364,29696,4.32
HIP 29807 ,06 16 33.1354,-35 08 26.634,29807,4.37
HIP 29997 ,06 18 50.7798,+69 19 12.123,29997,4.76
HIP 30060 ,06 19 37.3908,+59 00 39.259,30060,4.44
HIP 30093 ,06 19 59.6044,-02 56 40.165,30093,4.91
HIP 30122 ,06 20 18.7872,-30 03 48.156,30122,3.02
HIP 30277 ,06 22 06.8452,-33 26 10.581,30277,3.85
HIP 30324 ,06 22 41.9874,-17 57 21.300,30324,1.98
HIP 30343 ,06 22 57.5911,+22 30 49.861,30343,2.87
HIP 30419 ,06 23 46.0977,+04 35 34.220,30419,4.39
HIP 30438 ,06 23 57.0906,-52 41 44.585,30438,-0.62
HIP 30520 ,06 24 53.9020,+49 17 16.437,30520,4.92
HIP 30788 ,06 28 10.2175,-32 34 48.466,30788,4.47
HIP 30867 ,06 28 49.0741,-07 01 58.982,30867,3.76
HIP 30883 ,06 28 57.7905,+20 12 43.802,30883,4.13
HIP 31125 ,06 31 51.3682,-23 25 06.374,31125,4.34
HIP 31216 ,06 32 54.2296,+07 19 58.725,31216,4.47
HIP 31407 ,06 34 58.5874,-52 58 32.284,31407,4.35
HIP 31416 ,06 35 03.3799,-22 57 53.399,31416,4.54
HIP 31592 ,06 36 40.9989,-19 15 20.553,31592,3.95
HIP 31681 ,06 37 42.7023,+16 23 57.893,31681,1.93
HIP 31685 ,06 37 45.6717,-43 11 45.326,31685,3.17
HIP 31700 ,06 37 53.4259,-18 14 14.846,31700,4.42
HIP 31827 ,06 39 16.7164,-14 08 44.688,31827,4.82
HIP 31832 ,06 39 19.8270,+42 29 20.444,31832,4.8
HIP 31978 ,06 40 58.6610,+09 53 44.737,31978,4.66
HIP 32246 ,06 43 55.9298,+25 07 52.159,32246,3.06
HIP 32249 ,06 43 59.2941,+13 13 41.315,32249,4.49
HIP 32349 ,06 45 09.2499,-16 42 47.315,32349,-1.44
HIP 32362 ,06 45 17.4336,+12 53 45.798,32362,3.35
HIP 32438 ,06 46 14.1527,+59 26 30.088,32438,4.86
HIP 32533 ,06 47 19.8443,+08 02 14.218,32533,4.77
HIP 32578 ,06 47 51.6568,+02 24 43.881,32578,4.48
HIP 32607 ,06 48 11.5371,-61 56 31.128,32607,3.24
HIP 32759 ,06 49 50.4655,-32 30 30.555,32759,3.5
HIP 32761 ,06 49 51.3161,-53 37 20.972,32761,4.41
HIP 32768 ,06 49 56.1368,-50 36 51.839,32768,2.94
HIP 32844 ,06 50 45.9632,+41 46 53.636,32844,4.99
HIP 32855 ,06 50 52.3493,-34 22 02.354,32855,4.99
HIP 33018 ,06 52 47.3401,+33 57 40.931,33018,3.6
HIP 33092 ,06 53 32.9106,-20 13 27.349,33092,4.82
HIP 33152 ,06 54 07.9548,-24 11 03.203,33152,3.89
HIP 33160 ,06 54 11.4807,-12 02 18.934,33160,4.08
HIP 33202 ,06 54 38.5939,+13 10 40.859,33202,4.73
HIP 33302 ,06 55 37.3990,-20 08 11.737,33302,4.66
HIP 33347 ,06 56 08.2263,-17 03 15.288,33347,4.36
HIP 33357 ,06 56 15.9891,-48 43 16.192,33357,4.94
HIP 33449 ,06 57 16.5985,+58 25 23.015,33449,4.35
HIP 33485 ,06 57 37.1250,+45 05 38.767,33485,4.9
HIP 33579 ,06 58 37.5467,-28 58 19.522,33579,1.5
HIP 33694 ,07 00 03.8480,+76 58 38.789,33694,4.55
HIP 33856 ,07 01 43.1517,-27 56 05.430,33856,3.49
HIP 33971 ,07 02 54.7795,-04 14 21.257,33971,4.99
HIP 33977 ,07 03 01.4736,-23 49 59.885,33977,3.02
HIP 34045 ,07 03 45.4932,-15 37 59.732,34045,4.11
HIP 34059 ,07 03 53.6560,-49 35 03.327,34059,4.92
HIP 34088 ,07 04 06.5354,+20 34 13.078,34088,4.01
HIP 34444 ,07 08 23.4860,-26 23 35.548,34444,1.83
HIP 34481 ,07 08 44.8245,-70 29 57.100,34481,3.78
HIP 34495 ,07 08 51.0764,-39 39 20.425,34495,4.83
HIP 34622 ,07 10 13.6819,-04 14 15.488,34622,4.91
HIP 34693 ,07 11 08.3916,+30 14 43.010,34693,4.41
HIP 34752 ,07 11 39.2924,+39 19 13.957,34752,4.91
HIP 34769 ,07 11 51.8604,-00 29 34.010,34769,4.15
HIP 34834 ,07 12 33.7409,-46 45 34.432,34834,4.49
HIP 34899 ,07 13 13.3711,-45 10 57.089,34899,4.87
HIP 34922 ,07 13 32.2309,-44 38 25.906,34922,4.42
HIP 34981 ,07 14 15.2164,-26 21 09.058,34981,4.42
HIP 35020 ,07 14 38.1445,-48 16 18.942,35020,4.75
HIP 35037 ,07 14 48.6616,-26 46 21.670,35037,4.01
HIP 35205 ,07 16 35.0014,-27 52 52.583,35205,4.66
HIP 35210 ,07 16 36.8369,-23 18 56.166,35210,4.83
HIP 35228 ,07 16 49.8308,-67 57 25.821,35228,3.97
HIP 35264 ,07 17 08.5642,-37 05 50.953,35264,2.71
HIP 35350 ,07 18 05.6068,+16 32 25.711,35350,3.58
HIP 35363 ,07 18 18.4009,-36 44 02.280,35363,4.65
HIP 35412 ,07 18 40.3808,-24 33 31.347,35412,4.88
HIP 35415 ,07 18 42.4879,-24 57 15.784,35415,4.37
HIP 35550 ,07 20 07.3893,+21 58 56.422,35550,3.5
HIP 35727 ,07 22 13.5300,-19 00 59.704,35727,4.94
HIP 35904 ,07 24 05.7050,-29 18 11.231,35904,2.45
HIP 36041 ,07 25 38.8987,+09 16 34.026,36041,4.99
HIP 36046 ,07 25 43.6761,+27 47 53.828,36046,3.78
HIP 36145 ,07 26 42.8609,+49 12 41.922,36145,4.61
HIP 36188 ,07 27 09.0723,+08 17 21.872,36188,2.89
HIP 36284 ,07 28 09.8295,+08 55 31.814,36284,4.33
HIP 36366 ,07 29 06.6097,+31 47 02.686,36366,4.16
HIP 36377 ,07 29 13.8783,-43 18 06.809,36377,3.25
HIP 36425 ,07 29 47.7821,+12 00 23.800,36425,4.55
HIP 36431 ,07 29 51.4141,-23 01 27.477,36431,4.85
HIP 36514 ,07 30 42.6101,-30 57 44.219,36514,4.65
HIP 36547 ,07 31 04.4802,+82 24 41.647,36547,4.92
HIP 36773 ,07 33 47.9679,-14 31 26.044,36773,4.82
HIP 36795 ,07 34 03.2060,-22 17 46.251,36795,4.44
HIP 36850 ,07 34 36.0046,+31 53 19.091,36850,1.58
HIP 36917 ,07 35 22.9372,-28 22 09.401,36917,4.65
HIP 36942 ,07 35 39.7002,-52 32 01.709,36942,4.93
HIP 36962 ,07 35 55.3723,+26 53 45.612,36962,4.06
HIP 37096 ,07 37 22.1200,-34 58 06.854,37096,4.53
HIP 37173 ,07 38 18.0474,-25 21 53.237,37173,4.69
HIP 37229 ,07 38 49.8813,-26 48 14.013,37229,3.8
HIP 37265 ,07 39 09.9564,+34 35 04.678,37265,4.89
HIP 37279 ,07 39 18.5381,+05 13 39.028,37279,0.4
HIP 37297 ,07 39 27.3540,-38 18 29.017,37297,4.84
HIP 37379 ,07 40 23.2120,-15 15 49.867,37379,4.98
HIP 37447 ,07 41 14.8767,-09 33 03.899,37447,3.94
HIP 37504 ,07 41 49.1960,-72 36 22.087,37504,3.93
HIP 37609 ,07 43 00.4577,+58 42 37.753,37609,4.93
HIP 37629 ,07 43 18.6853,+28 53 02.658,37629,4.23
HIP 37648 ,07 43 32.3956,-28 24 39.446,37648,4.63
HIP 37677 ,07 43 48.4721,-28 57 17.407,37677,3.94
HIP 37740 ,07 44 26.8686,+24 23 53.265,37740,3.57
HIP 37819 ,07 45 15.3039,-37 58 06.955,37819,3.62
HIP 37826 ,07 45 19.3638,+28 01 34.717,37826,1.16
HIP 37908 ,07 46 07.4937,+18 30 36.608,37908,4.89
HIP 38070 ,07 48 05.1749,-25 56 13.850,38070,4.4
HIP 38089 ,07 48 20.2477,-47 04 39.115,38089,4.69
HIP 38164 ,07 49 14.2990,-46 22 23.618,38164,4.1
HIP 38170 ,07 49 17.6587,-24 51 35.222,38170,3.34
HIP 38414 ,07 52 13.0455,-40 34 32.876,38414,3.71
HIP 38455 ,07 52 38.6533,-38 51 46.159,38455,4.49
HIP 38500 ,07 53 03.6424,-49 36 47.086,38500,4.63
HIP 38518 ,07 53 18.1629,-48 06 10.614,38518,4.22
HIP 38538 ,07 53 29.8365,+26 45 57.091,38538,4.97
HIP 38827 ,07 56 46.7417,-52 58 56.642,38827,3.46
HIP 38835 ,07 56 51.5583,-22 52 48.535,38835,4.2
HIP 38901 ,07 57 40.1118,-30 20 04.513,38901,4.76
HIP 38957 ,07 58 14.4439,-49 14 41.743,38957,4.47
HIP 39079 ,07 59 44.1847,-03 40 46.482,39079,4.93
HIP 39095 ,07 59 52.0552,-18 23 56.913,39095,4.61
HIP 39138 ,08 00 19.9692,-63 34 03.010,39138,4.81
HIP 39211 ,08 01 13.2964,-01 23 32.727,39211,4.69
HIP 39311 ,08 02 15.9533,+02 20 03.531,39311,4.39
HIP 39424 ,08 03 31.0992,+27 47 39.905,39424,4.94
HIP 39429 ,08 03 35.0701,-40 00 11.478,39429,2.21
HIP 39757 ,08 07 32.7022,-24 18 15.972,39757,2.83
HIP 39794 ,08 07 55.8408,-68 37 01.691,39794,4.35
HIP 39847 ,08 08 27.5035,+51 30 24.033,39847,4.78
HIP 39863 ,08 08 35.6577,-02 59 01.595,39863,4.36
HIP 39903 ,08 09 00.8584,-61 18 06.141,39903,4.74
HIP 39906 ,08 09 01.6434,-19 14 42.003,39906,4.4
HIP 39953 ,08 09 31.9553,-47 20 11.802,39953,1.75
HIP 40084 ,08 11 16.3213,-12 55 37.266,40084,4.72
HIP 40091 ,08 11 21.5002,-39 37 06.791,40091,4.44
HIP 40096 ,08 11 25.8968,-42 59 14.240,40096,4.73
HIP 40167 ,08 12 12.7088,+17 38 53.295,40167,4.67
HIP 40259 ,08 13 19.9750,-15 47 17.572,40259,4.99
HIP 40274 ,08 13 29.5224,-35 53 58.352,40274,4.78
HIP 40326 ,08 14 02.8871,-40 20 51.829,40326,4.42
HIP 40526 ,08 16 30.9482,+09 11 08.387,40526,3.53
HIP 40702 ,08 18 31.2668,-76 55 11.937,40702,4.05
HIP 40706 ,08 18 33.3932,-36 39 34.318,40706,4.44
HIP 40888 ,08 20 38.8879,-77 29 04.475,40888,4.34
HIP 40945 ,08 21 23.0343,-33 03 15.739,40945,4.83
HIP 41037 ,08 22 30.8647,-59 30 34.338,41037,1.86
HIP 41039 ,08 22 31.6987,-48 29 25.431,41039,4.79
HIP 41075 ,08 22 50.1301,+43 11 18.140,41075,4.25
HIP 41307 ,08 25 39.6709,-03 54 22.913,41307,3.91
HIP 41312 ,08 25 44.2462,-66 08 11.474,41312,3.77
HIP 41704 ,08 30 16.0302,+60 43 06.352,41704,3.35
HIP 42134 ,08 35 19.6482,-58 00 33.461,42134,4.84
HIP 42312 ,08 37 38.6414,-42 59 20.773,42312,4.11
HIP 42313 ,08 37 39.4074,+05 42 13.675,42313,4.14
HIP 42402 ,08 38 45.4488,+03 20 29.309,42402,4.45
HIP 42483 ,08 39 42.4907,-29 33 39.103,42483,4.86
HIP 42509 ,08 40 01.5194,-12 28 31.348,42509,4.98
HIP 42515 ,08 40 06.1365,-35 18 29.883,42515,3.97
HIP 42527 ,08 40 12.8986,+64 19 40.338,42527,4.59
HIP 42536 ,08 40 17.6092,-52 55 19.101,42536,3.6
HIP 42568 ,08 40 37.0352,-59 45 39.653,42568,4.31
HIP 42570 ,08 40 37.5753,-46 38 55.518,42570,3.77
HIP 42624 ,08 41 13.1401,-47 19 01.709,42624,4.74
HIP 42662 ,08 41 43.3340,-15 56 35.335,42662,4.87
HIP 42726 ,08 42 25.4104,-53 06 50.546,42726,4.83
HIP 42799 ,08 43 13.4864,+03 23 55.195,42799,4.3
HIP 42806 ,08 43 17.2131,+21 28 06.946,42806,4.66
HIP 42828 ,08 43 35.5475,-33 11 11.081,42828,3.68
HIP 42835 ,08 43 40.3803,-07 14 01.420,42835,4.63
HIP 42884 ,08 44 23.9660,-42 38 57.564,42884,4.05
HIP 42911 ,08 44 41.1101,+18 09 17.510,42911,3.94
HIP 42913 ,08 44 42.1973,-54 42 30.845,42913,1.93
HIP 43023 ,08 46 01.6547,-46 02 29.541,43023,3.87
HIP 43067 ,08 46 22.5275,-13 32 51.738,43067,4.32
HIP 43103 ,08 46 41.8343,+28 45 36.018,43103,4.03
HIP 43105 ,08 46 42.5592,-56 46 11.270,43105,4.5
HIP 43109 ,08 46 46.6462,+06 25 08.065,43109,3.38
HIP 43234 ,08 48 25.9808,+05 50 16.385,43234,4.35
HIP 43347 ,08 49 47.6483,-45 18 28.475,43347,4.94
HIP 43409 ,08 50 32.0113,-27 42 36.211,43409,4.02
HIP 43783 ,08 55 02.8617,-60 38 40.963,43783,3.84
HIP 43813 ,08 55 23.6848,+05 56 43.900,43813,3.11
HIP 43825 ,08 55 31.5156,-27 40 53.853,43825,4.87
HIP 43878 ,08 56 19.2780,-52 43 24.639,43878,4.68
HIP 43937 ,08 56 58.4271,-59 13 45.692,43937,4.93
HIP 44066 ,08 58 29.1970,+11 51 27.979,44066,4.26
HIP 44127 ,08 59 12.8387,+48 02 32.458,44127,3.12
HIP 44191 ,09 00 05.4401,-41 15 13.456,44191,4.45
HIP 44248 ,09 00 38.7522,+41 47 00.398,44248,3.96
HIP 44382 ,09 02 26.7988,-66 23 45.037,44382,4
HIP 44390 ,09 02 32.7259,+67 37 46.469,44390,4.74
HIP 44471 ,09 03 37.5588,+47 09 23.974,44471,3.57
HIP 44511 ,09 04 09.3205,-47 05 51.770,44511,3.75
HIP 44599 ,09 05 08.8303,-72 36 09.698,44599,4.47
HIP 44626 ,09 05 38.3821,-70 32 18.675,44626,4.66
HIP 44659 ,09 05 58.3778,+05 05 32.433,44659,4.99
HIP 44700 ,09 06 31.7881,+38 27 08.101,44700,4.56
HIP 44816 ,09 07 59.7771,-43 25 57.447,44816,2.23
HIP 44824 ,09 08 02.8572,-25 51 30.733,44824,4.62
HIP 44901 ,09 08 52.3857,+51 36 17.018,44901,4.46
HIP 45038 ,09 10 23.5262,+67 08 03.260,45038,4.8
HIP 45075 ,09 10 54.9312,+63 30 49.611,45075,4.67
HIP 45080 ,09 10 58.1053,-58 58 00.949,45080,3.43
HIP 45085 ,09 11 04.4026,-44 52 04.484,45085,4.99
HIP 45101 ,09 11 16.7679,-62 19 01.257,45101,3.96
HIP 45238 ,09 13 12.2408,-69 43 02.901,45238,1.67
HIP 45336 ,09 14 21.7933,+02 18 54.087,45336,3.89
HIP 45439 ,09 15 36.7617,-38 34 11.704,45439,4.92
HIP 45448 ,09 15 45.0695,-37 24 47.255,45448,4.63
HIP 45493 ,09 16 11.2788,+54 01 18.163,45493,4.8
HIP 45496 ,09 16 12.1024,-57 32 29.176,45496,4.34
HIP 45556 ,09 17 05.4284,-59 16 30.940,45556,2.21
HIP 45688 ,09 18 50.6673,+36 48 10.431,45688,3.82
HIP 45751 ,09 19 46.3988,-11 58 29.576,45751,4.77
HIP 45811 ,09 20 29.0260,-09 33 20.266,45811,4.8
HIP 45856 ,09 20 56.8303,-62 24 16.679,45856,4.79
HIP 45860 ,09 21 03.4588,+34 23 33.093,45860,3.14
HIP 45902 ,09 21 29.5988,-25 57 55.499,45902,4.71
HIP 45941 ,09 22 06.8292,-55 00 38.503,45941,2.47
HIP 46026 ,09 23 12.3363,-28 50 02.123,46026,4.71
HIP 46146 ,09 24 39.2793,+26 10 56.787,46146,4.47
HIP 46371 ,09 27 18.2974,-22 20 36.303,46371,4.72
HIP 46390 ,09 27 35.2518,-08 39 31.260,46390,1.99
HIP 46509 ,09 29 08.8388,-02 46 08.243,46509,4.59
HIP 46515 ,09 29 14.7375,-35 57 04.852,46515,4.51
HIP 46651 ,09 30 42.1130,-40 28 00.795,46651,3.6
HIP 46701 ,09 31 13.3538,-57 02 03.810,46701,3.16
HIP 46733 ,09 31 31.5697,+63 03 42.464,46733,3.65
HIP 46750 ,09 31 43.2404,+22 58 05.036,46750,4.32
HIP 46771 ,09 31 56.7923,+11 18 00.111,46771,4.99
HIP 46776 ,09 31 58.9348,-01 11 04.756,46776,4.54
HIP 46853 ,09 32 52.3253,+51 40 42.967,46853,3.17
HIP 46952 ,09 34 13.3770,+36 23 51.408,46952,4.54
HIP 46974 ,09 34 26.6630,-59 13 47.165,46974,4.08
HIP 46977 ,09 34 28.9679,+69 49 48.555,46977,4.54
HIP 47006 ,09 34 49.4949,+52 03 05.643,47006,4.47
HIP 47029 ,09 35 03.8525,+39 37 17.195,47029,4.81
HIP 47175 ,09 36 49.6570,-49 21 18.463,47175,4.34
HIP 47193 ,09 37 05.3519,+81 19 35.115,47193,4.28
HIP 47310 ,09 38 27.3851,+04 38 57.891,47310,4.68
HIP 47391 ,09 39 21.0409,-61 19 41.179,47391,4.51
HIP 47431 ,09 39 51.3340,-01 08 33.566,47431,3.9
HIP 47508 ,09 41 09.1179,+09 53 32.636,47508,3.52
HIP 47522 ,09 41 17.0260,-23 35 29.477,47522,4.76
HIP 47592 ,09 42 14.6715,-23 54 58.351,47592,4.93
HIP 47758 ,09 44 12.1302,-27 46 10.426,47758,4.78
HIP 47854 ,09 45 14.8276,-62 30 28.524,47854,3.69
HIP 47908 ,09 45 51.1024,+23 46 27.401,47908,2.97
HIP 48002 ,09 47 06.1376,-65 04 19.268,48002,2.92
HIP 48319 ,09 50 59.6917,+59 02 20.776,48319,3.78
HIP 48356 ,09 51 28.6825,-14 50 47.580,48356,4.11
HIP 48374 ,09 51 40.6884,-46 32 51.519,48374,4.58
HIP 48402 ,09 52 06.3602,+54 03 51.429,48402,4.55
HIP 48455 ,09 52 45.9577,+26 00 25.506,48455,3.88
HIP 48559 ,09 54 12.4385,-25 55 56.935,48559,4.87
HIP 48615 ,09 54 52.2371,-19 00 33.371,48615,4.94
HIP 48774 ,09 56 51.7548,-54 34 04.070,48774,3.52
HIP 49029 ,10 00 12.8243,+08 02 39.397,49029,4.68
HIP 49402 ,10 05 07.4925,-13 03 52.828,49402,4.6
HIP 49583 ,10 07 19.9535,+16 45 45.597,49583,3.48
HIP 49593 ,10 07 25.7251,+35 14 40.890,49593,4.49
HIP 49637 ,10 07 54.3188,+09 59 51.590,49637,4.39
HIP 49641 ,10 07 56.2956,-00 22 17.860,49641,4.48
HIP 49669 ,10 08 22.4594,+11 58 01.902,49669,1.36
HIP 49712 ,10 08 56.2537,-51 48 40.543,49712,4.85
HIP 49841 ,10 10 35.3971,-12 21 13.821,49841,3.61
HIP 50099 ,10 13 44.2789,-70 02 16.518,50099,3.29
HIP 50191 ,10 14 44.2738,-42 07 19.426,50191,3.85
HIP 50335 ,10 16 41.4043,+23 25 02.382,50335,3.43
HIP 50371 ,10 17 05.0053,-61 19 56.351,50371,3.39
HIP 50372 ,10 17 05.9270,+42 54 52.087,50372,3.45
HIP 50555 ,10 19 36.7652,-55 01 45.532,50555,4.59
HIP 50564 ,10 19 44.3102,+19 28 17.169,50564,4.78
HIP 50583 ,10 19 58.1617,+19 50 30.697,50583,2.01
HIP 50676 ,10 20 54.8150,-56 02 35.606,50676,4.5
HIP 50799 ,10 22 19.6060,-41 39 00.388,50799,4.82
HIP 50801 ,10 22 19.8033,+41 29 57.961,50801,3.06
HIP 50847 ,10 22 58.1793,-66 54 05.491,50847,4.97
HIP 50933 ,10 24 07.8588,+65 33 59.305,50933,4.94
HIP 50954 ,10 24 23.7405,-74 01 53.561,50954,3.99
HIP 51056 ,10 25 54.8671,+33 47 46.549,51056,4.72
HIP 51069 ,10 26 05.5050,-16 50 09.945,51069,3.83
HIP 51172 ,10 27 09.1559,-31 04 04.088,51172,4.28
HIP 51192 ,10 27 24.4783,-57 38 19.729,51192,4.65
HIP 51232 ,10 27 52.7451,-58 44 21.871,51232,3.81
HIP 51233 ,10 27 53.0925,+36 42 26.921,51233,4.2
HIP 51438 ,10 30 20.0751,-71 59 33.792,51438,4.72
HIP 51459 ,10 30 37.7643,+55 58 50.223,51459,4.82
HIP 51495 ,10 31 02.0746,-73 13 17.432,51495,4.94
HIP 51523 ,10 31 22.2348,-53 42 57.574,51523,4.89
HIP 51576 ,10 32 01.4838,-61 41 07.297,51576,3.3
HIP 51624 ,10 32 48.6751,+09 18 23.740,51624,3.84
HIP 51658 ,10 33 13.9972,+40 25 31.946,51658,4.72
HIP 51808 ,10 35 05.5884,+75 42 46.743,51808,4.86
HIP 51839 ,10 35 28.2184,-78 36 28.130,51839,4.11
HIP 51849 ,10 35 35.3146,-57 33 27.488,51849,4.45
HIP 51979 ,10 37 13.7988,-27 24 45.672,51979,4.87
HIP 51986 ,10 37 18.2568,-48 13 32.219,51986,3.84
HIP 52009 ,10 37 33.2475,-13 23 04.023,52009,4.89
HIP 52085 ,10 38 35.0131,-16 52 35.893,52085,4.91
HIP 52098 ,10 38 43.2126,+31 58 34.392,52098,4.68
HIP 52102 ,10 38 45.0125,-59 10 58.797,52102,4.69
HIP 52154 ,10 39 18.4125,-55 36 11.805,52154,4.29
HIP 52370 ,10 42 14.1440,-64 27 59.234,52370,4.76
HIP 52419 ,10 42 57.4267,-64 23 40.126,52419,2.74
HIP 52468 ,10 43 32.3077,-60 33 59.857,52468,4.58
HIP 52502 ,10 44 06.9371,-63 57 39.963,52502,4.8
HIP 52633 ,10 45 47.1358,-80 32 24.730,52633,4.45
HIP 52727 ,10 46 46.1221,-49 25 12.451,52727,2.69
HIP 52736 ,10 46 51.2442,-64 23 00.589,52736,4.87
HIP 52943 ,10 49 37.4321,-16 11 38.875,52943,3.11
HIP 53229 ,10 53 18.6399,+34 12 56.039,53229,3.79
HIP 53253 ,10 53 29.5662,-58 51 11.753,53253,3.78
HIP 53295 ,10 53 58.7060,+43 11 24.055,53295,4.66
HIP 53417 ,10 55 36.8480,+24 44 59.116,53417,4.3
HIP 53502 ,10 56 42.9963,-37 08 14.866,53502,4.6
HIP 53740 ,10 59 46.7488,-18 17 56.750,53740,4.08
HIP 53773 ,11 00 09.2458,-42 13 33.131,53773,4.37
HIP 53807 ,11 00 33.6395,+03 37 03.121,53807,4.84
HIP 53824 ,11 00 44.8323,+06 06 05.412,53824,4.98
HIP 53907 ,11 01 49.6689,-02 29 04.189,53907,4.73
HIP 53910 ,11 01 50.3908,+56 22 56.441,53910,2.34
HIP 53954 ,11 02 19.7812,+20 10 47.085,53954,4.42
HIP 54061 ,11 03 43.8369,+61 45 04.028,54061,1.81
HIP 54182 ,11 05 01.2299,+07 20 10.041,54182,4.62
HIP 54204 ,11 05 20.0326,-27 17 36.944,54204,4.92
HIP 54301 ,11 06 32.4743,-62 25 26.892,54301,4.62
HIP 54463 ,11 08 35.3956,-58 58 30.151,54463,3.93
HIP 54539 ,11 09 39.8594,+44 29 54.792,54539,3
HIP 54682 ,11 11 39.4863,-22 49 32.183,54682,4.46
HIP 54751 ,11 12 36.0203,-60 19 03.471,54751,4.59
HIP 54872 ,11 14 06.4121,+20 31 26.522,54872,2.56
HIP 54879 ,11 14 14.4409,+15 25 47.147,54879,3.33
HIP 54951 ,11 15 12.2431,+23 05 43.891,54951,4.56
HIP 55084 ,11 16 39.7641,-03 39 05.451,55084,4.45
HIP 55203 ,11 18 11.2400,+31 31 50.800,55203,3.79
HIP 55219 ,11 18 28.7553,+33 05 39.260,55219,3.49
HIP 55266 ,11 19 07.9434,+38 11 08.600,55266,4.76
HIP 55282 ,11 19 20.5226,-14 46 44.557,55282,3.56
HIP 55425 ,11 21 00.4422,-54 29 27.650,55425,3.9
HIP 55434 ,11 21 08.2482,+06 01 45.670,55434,4.05
HIP 55560 ,11 22 49.6138,+43 28 57.852,55560,4.99
HIP 55642 ,11 23 55.3688,+10 31 46.912,55642,4
HIP 55687 ,11 24 36.6054,-10 51 33.778,55687,4.81
HIP 55705 ,11 24 52.9832,-17 41 02.463,55705,4.06
HIP 55945 ,11 27 56.2299,+02 51 22.647,55945,4.95
HIP 56127 ,11 30 18.8818,-03 00 12.452,56127,4.77
HIP 56211 ,11 31 24.2885,+69 19 52.038,56211,3.82
HIP 56280 ,11 32 16.4175,-29 15 40.945,56280,4.93
HIP 56343 ,11 33 00.2590,-31 51 27.087,56343,3.54
HIP 56480 ,11 34 45.7119,-54 15 50.874,56480,4.62
HIP 56561 ,11 35 46.9283,-63 01 11.370,56561,3.11
HIP 56633 ,11 36 40.9485,-09 48 08.113,56633,4.7
HIP 56647 ,11 36 56.9299,-00 49 25.875,56647,4.3
HIP 56922 ,11 40 12.8204,-34 44 40.759,56922,4.7
HIP 56986 ,11 40 53.6527,-62 05 24.374,56986,4.93
HIP 57283 ,11 44 45.7589,-18 21 02.213,57283,4.71
HIP 57328 ,11 45 17.0048,+08 15 29.429,57328,4.84
HIP 57363 ,11 45 36.5673,-66 43 43.836,57363,3.63
HIP 57380 ,11 45 51.5706,+06 31 47.330,57380,4.04
HIP 57399 ,11 46 03.1341,+47 46 45.613,57399,3.69
HIP 57439 ,11 46 30.8490,-61 10 42.093,57439,4.11
HIP 57443 ,11 46 32.2470,-40 30 04.804,57443,4.89
HIP 57565 ,11 47 59.2264,+20 13 08.188,57565,4.5
HIP 57581 ,11 48 14.4894,-66 48 53.535,57581,4.75
HIP 57632 ,11 49 03.8783,+14 34 20.413,57632,2.14
HIP 57669 ,11 49 41.0880,-63 47 18.561,57669,4.3
HIP 57696 ,11 49 56.6271,-70 13 32.829,57696,4.98
HIP 57757 ,11 50 41.2861,+01 45 55.357,57757,3.59
HIP 57803 ,11 51 08.7516,-45 10 24.418,57803,4.47
HIP 57851 ,11 51 51.2729,-65 12 21.220,57851,4.89
HIP 57936 ,11 52 54.5613,-33 54 29.269,57936,4.29
HIP 58001 ,11 53 49.7413,+53 41 41.039,58001,2.41
HIP 58484 ,11 59 37.6913,-78 13 18.546,58484,4.88
HIP 58590 ,12 00 52.3903,+06 36 51.821,58590,4.65
HIP 58758 ,12 03 01.6991,-63 18 46.602,58758,4.32
HIP 58867 ,12 04 19.2377,-63 09 56.559,58867,4.72
HIP 58948 ,12 05 12.6696,+08 43 58.244,58948,4.12
HIP 59072 ,12 06 52.8529,-64 36 49.100,59072,4.14
HIP 59173 ,12 08 05.2563,-50 39 40.516,59173,4.46
HIP 59196 ,12 08 21.5436,-50 43 20.676,59196,2.58
HIP 59199 ,12 08 24.7527,-24 43 43.608,59199,4.02
HIP 59316 ,12 10 07.5259,-22 37 11.252,59316,3.02
HIP 59449 ,12 11 39.1514,-52 22 06.296,59449,3.97
HIP 59747 ,12 15 08.7570,-58 44 56.046,59747,2.79
HIP 59774 ,12 15 25.4491,+57 01 57.353,59774,3.32
HIP 59803 ,12 15 48.4678,-17 32 31.141,59803,2.58
HIP 59847 ,12 16 20.5552,+23 56 43.524,59847,4.93
HIP 59856 ,12 16 30.1748,+33 03 42.475,59856,4.99
HIP 59929 ,12 17 34.6363,-67 57 38.418,59929,4.06
HIP 60000 ,12 18 20.9439,-79 18 44.168,60000,4.24
HIP 60009 ,12 18 26.2927,-64 00 10.964,60009,4.06
HIP 60129 ,12 19 54.3914,-00 40 00.290,60129,3.89
HIP 60172 ,12 20 21.1526,+03 18 45.817,60172,4.97
HIP 60202 ,12 20 43.0931,+17 47 33.551,60202,4.72
HIP 60260 ,12 21 21.8113,-60 24 04.932,60260,3.59
HIP 60351 ,12 22 30.3192,+25 50 46.254,60351,4.78
HIP 60485 ,12 24 01.4823,+51 33 44.025,60485,4.76
HIP 60697 ,12 26 24.0737,+27 16 05.746,60697,4.92
HIP 60710 ,12 26 31.7882,-51 27 02.201,60710,4.82
HIP 60718 ,12 26 35.9414,-63 05 56.601,60718,0.77
HIP 60742 ,12 26 56.3276,+28 16 07.031,60742,4.35
