name,ra,dec,hip_number,vmag
HIP 8928  ,01 54 56.0148,-67 38 50.932,8928,4.68
HIP 9007  ,01 55 56.8325,-51 36 34.512,9007,3.69
HIP 9009  ,01 56 00.0038,+68 41 06.956,9009,4.97
HIP 9061  ,01 56 40.1587,-22 31 36.162,9061,4.92
HIP 9095  ,01 57 09.9929,-47 23 07.075,9095,4.82
HIP 9153  ,01 57 55.7754,+23 35 45.946,9153,4.79
HIP 9236  ,01 58 45.8718,-61 34 11.728,9236,2.86
HIP 9347  ,02 00 00.2248,-21 04 39.979,9347,3.99
HIP 9480  ,02 01 57.5498,+70 54 25.366,9480,4.49
HIP 9487  ,02 02 02.8006,+02 45 49.538,9487,3.82
HIP 9505  ,02 02 18.0742,+54 29 15.178,9505,4.99
HIP 9598  ,02 03 26.1903,+72 25 16.463,9598,3.95
HIP 9640  ,02 03 53.9191,+42 19 47.454,9640,2.1
HIP 9677  ,02 04 29.4301,-29 17 48.623,9677,4.68
HIP 9884  ,02 07 10.2858,+23 27 45.999,9884,2.01
HIP 9977  ,02 08 29.1458,+37 51 33.060,9977,4.78
HIP 10053 ,02 09 25.2861,+25 56 23.902,10053,4.98
HIP 10064 ,02 09 32.5209,+34 59 14.611,10064,3
HIP 10280 ,02 12 22.3239,+30 18 11.574,10280,4.94
HIP 10324 ,02 13 00.0110,+08 50 48.308,10324,4.36
HIP 10340 ,02 13 13.3408,+44 13 54.081,10340,4.84
HIP 10602 ,02 16 30.5003,-51 30 43.601,10602,3.56
HIP 10644 ,02 17 02.4176,+34 13 29.387,10644,4.84
HIP 10670 ,02 17 18.8357,+33 50 50.356,10670,4.03
HIP 11001 ,02 21 45.0230,-68 39 33.926,11001,4.08
HIP 11313 ,02 25 37.4010,+50 16 43.197,11313,4.73
HIP 11345 ,02 25 57.0123,-12 17 25.627,11345,4.88
HIP 11407 ,02 26 59.1050,-47 42 13.777,11407,4.24
HIP 11484 ,02 28 09.5179,+08 27 36.319,11484,4.3
HIP 11569 ,02 29 03.9882,+67 24 08.582,11569,4.46
HIP 11767 ,02 31 47.0753,+89 15 50.897,11767,1.97
HIP 11783 ,02 32 05.2772,-15 14 39.552,11783,4.74
HIP 11918 ,02 33 50.7124,-28 13 56.424,11918,4.96
HIP 12093 ,02 35 52.4890,+05 35 35.886,12093,4.87
HIP 12387 ,02 39 28.9483,+00 19 42.660,12387,4.08
HIP 12390 ,02 39 33.7317,-11 52 17.694,12390,4.83
HIP 12394 ,02 39 35.2237,-68 16 01.011,12394,4.12
HIP 12413 ,02 39 47.9193,-42 53 29.880,12413,4.74
HIP 12486 ,02 40 39.9317,-39 51 19.113,12486,4.11
HIP 12623 ,02 42 14.9288,+40 11 39.793,12623,4.91
HIP 12706 ,02 43 18.1246,+03 14 10.218,12706,3.47
HIP 12719 ,02 43 27.1105,+27 42 25.815,12719,4.65
HIP 12770 ,02 44 07.3545,-13 51 31.233,12770,4.24
HIP 12777 ,02 44 11.6880,+49 13 43.199,12777,4.1
HIP 12828 ,02 44 56.3734,+10 06 51.191,12828,4.27
HIP 12843 ,02 45 05.9815,-18 34 21.543,12843,4.47
HIP 12876 ,02 45 32.5326,-67 37 00.206,12876,4.83
HIP 13061 ,02 47 54.4415,+29 14 50.726,13061,4.52
HIP 13147 ,02 49 05.3595,-32 24 22.623,13147,4.45
HIP 13209 ,02 49 58.9894,+27 15 38.846,13209,3.61
HIP 13244 ,02 50 28.5368,-75 04 00.772,13244,4.76
HIP 13254 ,02 50 34.9142,+38 19 08.070,13254,4.22
HIP 13268 ,02 50 41.7928,+55 53 43.906,13268,3.77
HIP 13288 ,02 51 02.3459,-21 00 14.324,13288,4.76
HIP 13328 ,02 51 30.8309,+35 03 35.619,13328,4.56
HIP 13531 ,02 54 15.4625,+52 45 44.964,13531,3.93
HIP 13701 ,02 56 25.6038,-08 53 51.395,13701,3.89
HIP 13847 ,02 58 15.7156,-40 18 17.046,13847,2.88
HIP 13879 ,02 58 45.6505,+39 39 46.179,13879,4.68
HIP 13884 ,02 58 47.7660,-64 04 16.670,13884,4.98
HIP 13905 ,02 59 03.7098,+35 10 59.211,13905,4.94
HIP 13914 ,02 59 12.7339,+21 20 25.601,13914,4.63
HIP 13954 ,02 59 42.8963,+08 54 26.644,13954,4.71
HIP 14135 ,03 02 16.7791,+04 05 23.731,14135,2.54
HIP 14146 ,03 02 23.5931,-23 37 27.610,14146,4.08
HIP 14328 ,03 04 47.7902,+53 30 23.221,14328,2.91
HIP 14354 ,03 05 10.4970,+38 50 25.919,14354,3.32
HIP 14382 ,03 05 32.4257,+56 42 19.973,14382,4.77
HIP 14576 ,03 08 10.1297,+40 57 20.344,14576,2.09
HIP 14632 ,03 09 02.8833,+49 36 48.600,14632,4.05
HIP 14668 ,03 09 29.6291,+44 51 28.400,14668,3.79
HIP 14817 ,03 11 17.4015,+39 36 41.655,14817,4.61
HIP 14838 ,03 11 37.6697,+19 43 36.112,14838,4.35
HIP 14862 ,03 11 56.2385,+74 23 37.928,14862,4.85
HIP 14879 ,03 12 04.2800,-28 59 20.782,14879,3.8
HIP 15110 ,03 14 54.1148,+21 02 40.663,15110,4.87
HIP 15197 ,03 15 50.0268,-08 49 11.426,15197,4.8
HIP 15382 ,03 18 22.0956,-22 30 40.139,15382,4.86
HIP 15416 ,03 18 43.8239,+34 13 21.625,15416,4.85
HIP 15457 ,03 19 21.5389,+03 22 11.894,15457,4.84
HIP 15474 ,03 19 30.9697,-21 45 28.592,15474,3.7
HIP 15510 ,03 19 53.2248,-43 04 17.577,15510,4.26
HIP 15520 ,03 19 59.2568,+65 39 08.378,15520,4.74
HIP 15549 ,03 20 20.3663,+29 02 54.594,15549,4.47
HIP 15648 ,03 21 26.6071,+43 19 46.746,15648,4.96
HIP 15863 ,03 24 19.3485,+49 51 40.474,15863,1.79
HIP 15900 ,03 24 48.8376,+09 01 44.634,15900,3.61
HIP 16083 ,03 27 10.1209,+09 43 57.981,16083,3.73
HIP 16147 ,03 28 03.0501,+49 03 46.553,16147,4.99
HIP 16228 ,03 29 04.1344,+59 56 25.205,16228,4.21
HIP 16244 ,03 29 22.0303,+49 30 32.469,16244,4.67
HIP 16245 ,03 29 22.1864,-62 56 18.364,16245,4.71
HIP 16281 ,03 29 54.7460,+58 52 43.509,16281,4.55
HIP 16335 ,03 30 34.4822,+47 59 42.619,16335,4.36
HIP 16341 ,03 30 37.0499,-05 04 30.588,16341,4.74
HIP 16369 ,03 30 52.3670,+12 56 12.055,16369,4.14
HIP 16537 ,03 32 56.4216,-09 27 29.901,16537,3.72
HIP 16611 ,03 33 47.2479,-21 37 58.137,16611,4.26
HIP 16826 ,03 36 29.3601,+48 11 33.722,16826,4.32
HIP 16852 ,03 36 52.5190,+00 24 10.199,16852,4.29
HIP 16870 ,03 37 05.6781,-40 16 28.239,16870,4.57
HIP 17304 ,03 42 14.8991,-31 56 18.225,17304,4.99
HIP 17313 ,03 42 22.6435,+33 57 54.140,17313,4.97
