ra,dec,phot_g_mean_mag
128101,-83502,85
138707,-83363,86
138928,-83779,85
141842,-83520,89
149367,-83537,88
153403,-83413,90
155941,-83932,90
158349,-83363,82
159674,-83107,87
162592,-83217,87
169265,-83393,87
170074,-83781,81
174317,-83070,86
179832,-83142,83
185555,-83320,88
188954,-83648,86
189425,-83494,89
189626,-83420,90
190246,-83751,85
191966,-83646,85
193647,-83173,88
196152,-83029,86
202852,-83759,89
214380,-83548,86
215701,-83406,84
216914,-83523,89
218939,-83121,86
223962,-83884,88
225871,-83383,85
228290,-83689,90
230932,-83813,90
232928,-83713,82
234766,-83233,87
241257,-83777,85
243498,-83852,88
246880,-83477,83
247155,-83069,88
248218,-83568,86
249328,-83547,81
251118,-83948,88
253991,-83219,88
255015,-83088,89
255697,-83792,83
256292,-83643,90
257620,-83176,84
260003,-83682,90
271953,-83435,87
272352,-83133,87
275135,-83041,90
277674,-83049,82
288171,-83898,82
291383,-83639,88
293830,-83664,90
300861,-83415,89
308074,-83431,87
308713,-83705,85
311524,-83688,86
314410,-83873,83
316809,-83924,84
318324,-83327,88
322067,-83172,84
329517,-83554,89
330433,-83953,90
332660,-83913,87
336325,-83890,87
336513,-83516,81
339201,-83196,90
344022,-83352,82
347903,-83967,82
354253,-83839,86
355726,-83132,84
1601,-82196,88
3496,-82108,90
7036,-82407,87
9015,-82930,89
12581,-82907,87
16829,-82904,88
17014,-82074,90
17803,-82550,86
24359,-82281,84
25234,-82785,89
26707,-82673,83
29583,-82294,89
30887,-82736,82
33326,-82894,89
33957,-82513,90
34098,-82554,90
35689,-82476,90
36821,-82019,90
50047,-82265,82
50357,-82478,81
50911,-82405,85
51831,-82307,81
55292,-82486,83
59153,-82072,89
60395,-82878,90
64190,-82997,84
67724,-82491,84
70364,-82586,89
73091,-82475,84
73132,-82948,89
86716,-82428,84
91304,-82589,88
94606,-82971,81
101624,-82186,85
109781,-82583,85
112742,-82656,82
112750,-82252,83
113332,-82472,90
113532,-83000,82
113687,-82783,90
123056,-82955,89
124665,-82070,89
128175,-82614,87
133389,-82202,84
133875,-82668,90
135294,-82115,81
136593,-82253,89
137117,-82214,81
137227,-82854,85
138511,-82220,87
139268,-82300,90
142908,-82412,85
145661,-82788,81
147700,-82910,82
154033,-82719,87
158993,-82640,84
159103,-82923,88
159490,-82225,90
160828,-82318,85
165319,-82293,87
171796,-82517,85
177054,-82436,89
179510,-82523,86
180770,-82788,90
183982,-82420,87
185148,-82626,88
188391,-82441,89
189712,-82612,89
190807,-82042,86
190814,-82698,85
191268,-82818,87
192119,-82666,88
194533,-82411,89
195263,-82957,88
197746,-82269,86
202473,-82367,88
208888,-82821,89
211279,-82376,88
212697,-82267,83
219554,-82374,87
221182,-82058,85
222596,-82649,86
223723,-82234,90
223821,-82919,84
224220,-82524,81
234726,-82458,87
235737,-82663,82
236133,-82691,84
236599,-82996,88
237221,-82029,90
242429,-82340,86
242566,-82513,85
244183,-82773,90
244531,-82351,81
245093,-82036,90
248921,-82890,88
252977,-82824,89
253350,-82512,90
255805,-82764,87
257762,-82410,90
258397,-82176,90
266013,-82322,86
266927,-82217,87
267133,-82774,85
269185,-82069,87
269978,-82629,89
270622,-82736,81
276006,-82925,82
276333,-82304,85
278538,-82848,90
279662,-82231,90
283418,-82484,85
285786,-82554,89
286620,-82552,90
296988,-82665,89
299232,-82385,90
302080,-82868,82
302404,-82394,90
303321,-82028,82
308970,-82291,90
312126,-82269,87
315248,-82221,87
316584,-82505,83
319934,-82205,81
322625,-82242,90
328371,-82649,88
329694,-82753,83
330882,-82640,88
334936,-82632,89
339261,-82729,87
339748,-82814,81
342991,-82702,81
350370,-82775,90
352453,-82525,82
353761,-82336,88
357003,-82412,84
8123,-81655,81
8831,-81272,87
9489,-81177,89
10886,-81907,86
22345,-81206,81
27994,-81019,87
37411,-81921,81
38566,-81497,90
39343,-81152,90
39500,-81467,85
43653,-81559,87
44537,-81761,90
49868,-81751,83
50986,-81318,81
52992,-81522,90
55207,-81788,85
62398,-81855,81
66132,-81578,85
71902,-81920,87
75227,-81379,90
77864,-81076,83
80540,-81039,81
81707,-81585,83
88373,-81948,89
88815,-81566,90
90142,-81121,89
91350,-81991,83
92168,-81051,82
96074,-81392,84
97498,-81191,89
99210,-81679,83
99666,-81459,88
103675,-81101,81
106158,-81500,86
106236,-81171,85
108740,-81223,84
111982,-81416,88
115778,-81658,81
118527,-81646,90
122547,-81520,86
122681,-81554,90
127179,-81910,89
131650,-81123,81
140348,-81716,89
141117,-81116,83
141892,-81702,86
142877,-81674,85
144299,-81747,83
148876,-81301,83
149224,-81837,86
150465,-81699,90
153254,-81279,90
155269,-81556,86
160556,-81262,90
164090,-81537,90
168996,-81570,82
172969,-81429,83
177964,-81443,88
178720,-81007,90
178752,-81349,85
183777,-81899,89
185969,-81354,83
187422,-81561,90
190799,-81498,87
191144,-81027,89
195110,-81334,90
201121,-81803,86
201412,-81083,89
202902,-81559,87
203932,-81203,84
204746,-81320,85
207712,-81783,86
209009,-81521,90
213344,-81791,86
214151,-81656,88
